Model,Accuracy %,F1-Macro %,CV F1 %,Time(s),Device
Logistic Regression,58.12500000000001,66.29569038158476,67.39473259063021,1.48,💻 CPU
Decision Tree,63.425,65.25223020997728,76.14787809118991,0.41,💻 CPU
LightGBM (GPU),65.675,63.96342209770785,79.24066538259325,21.35,🔥 GPU
XGBoost (GPU),66.35,63.50442826404175,79.44132695040967,14.5,🔥 GPU
Random Forest,67.975,62.152256713501075,62.152256713501075,4.62,💻 CPU
Gradient Boosting,67.225,62.112988783363,62.112988783363,127.79,💻 CPU
KNN,45.775,47.84661301657666,47.84661301657666,0.18,💻 CPU
